,tanggal,jenis_kejadian_bencana,alamat,location,latitude,longitude
6715,2020-06-22,Kebakaran,"Jl.Anggrek Neli Murni 2 Blok C.No.28,29,34 &35( Belakang Mall Selipi ), Kemanggisan, Palmerah,  Kota Administrasi Jakarta Barat","Jalan Anggrek Neli Murni 2, Palmerah, DKI Jakarta, 11480",-6.199129985738139,106.79643999170344
6718,2020-06-22,Kebakaran,"Jl. Sunter Agung Timur, Sunter Agung, Tanjung Priok,  Kota Administrasi Jakarta Utara","Jalan Sunter Agung, Tanjung Priok, DKI Jakarta, 14330",-6.138066304417716,106.8632142442557
6719,2020-06-22,Kebakaran,"Jl. Teratai Raya Komp. Abadi, Duren sawit, Duren Sawit,  Kota Administrasi Jakarta Timur","Jalan Teratai, Duren Sawit, DKI Jakarta, 13440",-6.224968332929657,106.90499547983971
6725,2020-06-22,Kebakaran,"Jl. Attahiriyah II, Pejaten Barat, Pasar Minggu,  Kota Administrasi Jakarta Selatan","Jalan Attahiriyah II, Pasar Minggu, DKI Jakarta, 12510",-6.270650584371584,106.83980281284227
6726,2020-06-23,Kebakaran,"Jl. Swadaya 1 Kapuk, Kapuk Muara, Penjaringan,  Kota Administrasi Jakarta Utara","Jalan Swadaya 1, Cengkareng, DKI Jakarta, 11710",-6.154749987719001,106.7673200027865
6731,2020-06-23,Kebakaran,"Jl. Marina Golf Blok A, No. 23, Kamal Muara, Penjaringan,  Kota Administrasi Jakarta Utara","Kamal Muara, Penjaringan, DKI Jakarta",-6.1099799999999505,106.73882000000003
6733,2020-06-23,Kebakaran,"Jl. Komp. Green Ville Blok BG, No. 14-15, Duri Kepa, Kebun Jeruk,  Kota Administrasi Jakarta Barat","Blok Bg 14, Kebon Jeruk, DKI Jakarta, 11510",-6.171719988888,106.77526998649131
6734,2020-06-23,Kebakaran,"Jl. kemanggisan Pulo No. 8, Palmerah, Palmerah,  Kota Administrasi Jakarta Barat","Jalan Kemanggisan Pulo 8, Palmerah, DKI Jakarta, 11480",-6.198730001318609,106.79237996544333
6744,2020-06-24,Kebakaran,"Jl.Peta Barat, Tegal Alur, Kalideres,  Kota Administrasi Jakarta Barat","Jalan Peta Barat, Kalideres, DKI Jakarta, 11830",-6.128634952999953,106.68713507088233
6745,2020-06-24,Kebakaran,"Jl. Keutamaan dalam, Krukut, Tamansari,  Kota Administrasi Jakarta Barat","Jalan Keutamaan Dalam, Tamansari, DKI Jakarta, 11140",-6.155700953083389,106.81302260866048
6746,2020-06-24,Kebakaran,"Perumahan Bukit Permai , Jl. Ineri , Cibubur, Ciracas,  Kota Administrasi Jakarta Timur","Jalan Ineri, Ciracas, DKI Jakarta, 13720",-6.357196828706418,106.88514810838834
6749,2020-06-24,Kebakaran," Jl. Kerinci 9, Blok E1 ,No 01, Gunung, Kebayoran Baru,  Kota Administrasi Jakarta Selatan","Jalan Kerinci 9 1, Kebayoran Baru, DKI Jakarta, 12120",-6.237939999549624,106.78823997582691
6753,2020-06-25,Kebakaran,"jl. Kapuk Kamal Raya, Kamal Muara, Penjaringan,  Kota Administrasi Jakarta Utara","Jalan Kapuk Kamal Raya, Penjaringan, DKI Jakarta, 14470",-6.130198463845896,106.74506599635934
6754,2020-06-25,Kebakaran,"Tol Wiyoto Wiyono Arah Cawang, Sunter Agung, Tanjung Priok,  Kota Administrasi Jakarta Utara",Kota Administrasi Jakarta Utara,-6.139129999999966,106.86195000000004
6755,2020-06-25,Kebakaran,"Jl. Perumahan Gading Griya Lestari, Sukapura, Cilincing,  Kota Administrasi Jakarta Utara","Suka Pura, Cilincing, DKI Jakarta",-6.148339999999962,106.92778000000004
6756,2020-06-25,Kebakaran,"Jl. Cipete Raya No.35, Cipete Selatan, Cilandak,  Kota Administrasi Jakarta Selatan","Jalan Cipete Raya 35, Cilandak, DKI Jakarta, 12410",-6.277960396686091,106.80435663807233
