tanggal,jenis_kejadian_bencana,keterangan_jkb,sumber_informasi,alamat_kejadian,kelurahan,kecamatan,wilayah,kerugian_jumlah_kk,taksiran_kerugian,,
2020-04-04,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl. Malaka Jaya,Rorotan,Cilincing, Kota Administrasi Jakarta Utara,0,0,,
2020-04-05,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl.Jembatan Besi 12,Jembatan Besi,Tambora, Kota Administrasi Jakarta Barat,0,0,,
2020-04-05,Penyelamatan,Penyelamatan Transportasi,Masyarakat Telepon,Jl.Raya Pondok Gede ( Lampu Merah Kampung Dukuh ),Dukuh,Kramat Jati, Kota Administrasi Jakarta Timur,0,0,,
2020-04-05,Penyelamatan,Operasi Penyelamatan Lainnya,Masyarakat Datang,Kantor Sektor Sawah Besar Jakarta Pusat,Mangga Dua Selatan ,Sawah Besar, Kota Administrasi Jakarta Pusat,0,0,,
2020-04-05,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl. Kirana Blok C7 No.17,Kelapa Gading Barat,Kelapa Gading, Kota Administrasi Jakarta Utara,0,0,,
2020-04-05,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Gading Kirana Blok 10 No.57,Kelapa Gading Barat,Kelapa Gading, Kota Administrasi Jakarta Utara,0,76000,,
2020-04-05,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Raya Kembangan,Kembangan Selatan,Kembangan, Kota Administrasi Jakarta Barat,0,5000000,,
2020-04-05,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl. Pengadegan Barat IV,Pengadegan,Pancoran, Kota Administrasi Jakarta Selatan,0,5000000,,
2020-04-05,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl. Bukit Golf Utama Blok PA11,Pondok Pinang,Kebayoran Lama, Kota Administrasi Jakarta Selatan,0,0,,
2020-04-05,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Panca Warga No.37,Cipinang Besar Selatan,Jatinegara, Kota Administrasi Jakarta Timur,1,25000000,,
2020-04-05,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl. Suci,Susukan,Ciracas, Kota Administrasi Jakarta Timur,0,0,,
2020-04-05,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl. Madrasah IV,Pekayon,Pasar Rebo, Kota Administrasi Jakarta Timur,0,0,,
2020-04-06,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl. Kelapa Hibrida Raya Blok BD1 No.1,Pondok Kelapa,Duren Sawit, Kota Administrasi Jakarta Timur,0,0,,
2020-04-06,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,"Jl. Jambu Air, No. 45",Pegadungan,Kalideres, Kota Administrasi Jakarta Barat,0,3000000,,
2020-04-06,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl. Krisan No. 7,Duri kosambi,Cengkareng, Kota Administrasi Jakarta Barat,0,0,,
2020-04-06,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,"Jl. Puri Botanical Residence, Blok Eugenia 5, Blok H5/32",joglo,Kembangan, Kota Administrasi Jakarta Barat,0,0,,
2020-04-06,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,"Jl. Masjid Darul Hikmah, Joglo Baru, No. 12",Joglo,Kembangan, Kota Administrasi Jakarta Barat,0,0,,
2020-04-06,Penyelamatan,Pohon Tumbang,Masyarakat Telepon,Jl. Sakti No. 3,Kemanggisan,Palmerah, Kota Administrasi Jakarta Barat,0,0,,
2020-04-06,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,"Jl. Sukapura, Gg. Salon",Sukapura,Cilincing, Kota Administrasi Jakarta Utara,0,0,,
2020-04-06,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,"Jl. Jati Padang, Gg. Nurul Iman, No. 501 B",Jatipadang,Pasar Minggu, Kota Administrasi Jakarta Selatan,0,0,,
2020-04-06,Penyelamatan,Operasi Penyelamatan Lainnya,Masyarakat Telepon,Jl. Salihara,Jatipadang,Pasar Minggu, Kota Administrasi Jakarta Selatan,0,0,,
2020-04-06,Kebakaran,Bencana Kebakaran,Masyarakat Datang,"Jl. Muara Karang Raya, Blok A6 Utara, No. 217",Pluit,Penjaringan, Kota Administrasi Jakarta Utara,0,10000000,,
2020-04-07,Kebakaran,Bencana Kebakaran,Petugas Instansi Lain,Jl.Mega Kuningan Barat No.3,Kuningan Timur,Setiabudi, Kota Administrasi Jakarta Selatan,0,5000000,,
2020-04-07,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl.Gria Manunggal 1D No.108,KAlisari,Pasar Rebo, Kota Administrasi Jakarta Timur,0,0,,
2020-04-07,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl. Mangga Raya No..8 A ( Toko Pismanis ),Duri Kepa,Kebun Jeruk, Kota Administrasi Jakarta Barat,0,1000000,,
2020-04-07,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl. Sungai Kendal,Rorotan,Cilincing, Kota Administrasi Jakarta Utara,0,0,,
2020-04-07,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl. Boncel No..69,Srengseng sawah,Jagakarsa, Kota Administrasi Jakarta Selatan,0,0,,
2020-04-07,Penyelamatan,Operasi Penyelamatan Lainnya,Masyarakat Datang,Jl. Salihara No..1,Jatipadang,Pasar Minggu, Kota Administrasi Jakarta Selatan,0,0,,
2020-04-08,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl.Kejaksaan 2 No..10,Ciledug,Ciledug,Kota Tangerang,1,1000000000,,
2020-04-07,Penyelamatan,Operasi Penyelamatan Lainnya,Masyarakat Datang,Jl.Angrek No..1,Koja,Koja, Kota Administrasi Jakarta Utara,0,0,,
2020-04-07,Penyelamatan,Penyelamatan Transportasi,Masyarakat Telepon,Jl.Dermaga Utama Pulau Tidung,Pulau Tidung,Kep. Seribu Selatan, Kab. Administrasi Kep. Seribu,0,0,,
2020-04-08,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl. Pos Pengumben Perumahan Bulog,Sukabumi Utara,Kebun Jeruk, Kota Administrasi Jakarta Barat,0,0,,
2020-04-08,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl. H. Ririn / Adhiyaksa II,Lebak Bulus,Cilandak, Kota Administrasi Jakarta Selatan,0,500000,,
2020-04-08,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Kampung Muslim Pulau Tidung,Pulau Tidung,Kep. Seribu Selatan, Kab. Administrasi Kep. Seribu,0,0,,
2020-04-08,Penyelamatan,Operasi Penyelamatan Lainnya,Masyarakat Datang,Jl. Lagoa Pasir Sinar,Lagoa,Koja, Kota Administrasi Jakarta Utara,0,0,,
2020-04-08,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl. Tipar Cakung,Semper Barat,Cilincing, Kota Administrasi Jakarta Utara,0,0,,
2020-04-09,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl. Fort Timur No.25A,Koja,Koja, Kota Administrasi Jakarta Utara,0,0,,
2020-04-09,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,jl. sungai Gorontalo Blok G2 ,Sungai Bambu,Tanjung Priok, Kota Administrasi Jakarta Utara,0,0,,
2020-04-09,Kebakaran,Bencana Kebakaran,Petugas Instansi Lain,kolintamil Jl. Pelabuhan Pos 9,Tanjung Priok,Tanjung Priok, Kota Administrasi Jakarta Utara,0,0,,
2020-04-09,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,"Jl. Empang Bahagia, Gg. N, No. 13",Grogol,Grogol Petamburan, Kota Administrasi Jakarta Barat,0,125000000,,
2020-04-09,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl. Kerta Jaya,Penjaringan,Penjaringan, Kota Administrasi Jakarta Utara,4,185000000,,
2020-04-09,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl. H Marjuki,Kedoya Selatan,Kebun Jeruk, Kota Administrasi Jakarta Barat,0,0,,
2020-04-09,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl. Raya Poncol,Ciracas,Ciracas, Kota Administrasi Jakarta Timur,0,0,,
2020-04-09,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl. Kelapa Molek 6 blok 32 No. 14,Kelapa Gading Timur,Kelapa Gading, Kota Administrasi Jakarta Utara,0,0,,
2020-04-10,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl.Adhi Karya No..15,Kedoya Selatan,Kebun Jeruk, Kota Administrasi Jakarta Barat,1,2000000,,
