tanggal,jenis_kejadian_bencana,keterangan_jkb,sumber_informasi,alamat_kejadian,kelurahan,kecamatan,wilayah,kerugian_jumlah_kk,taksiran_kerugian,,
2020-06-02,Penyelamatan,Operasi Penyelamatan Lainnya,Masyarakat Datang,Jl. Komplek Taman Palem Lestari No. 37F,Cengkareng Barat,Cengkareng, Kota Administrasi Jakarta Barat,0,0,,
2020-06-02,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl. Mertilang No. 18,Petukangan Selatan,Pesanggrahan, Kota Administrasi Jakarta Selatan,0,0,,
2020-06-02,Penyelamatan,Penyelamatan Transportasi,Masyarakat Datang,Jl. Lebak,Pejaten Timur,Pasar Minggu, Kota Administrasi Jakarta Selatan,0,0,,
2020-06-02,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl. H. R. Rasuna Said No.2 (Epicentrum),Karet Kuningan,Setiabudi, Kota Administrasi Jakarta Selatan,0,0,,
2020-06-02,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,"Jl. H. Gari, Gg. H. Namin No. 18",Pesanggrahan,Pesanggrahan, Kota Administrasi Jakarta Selatan,0,0,,
2020-06-02,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,"Jl. Dalang, Perum Anggrek Loka Blok A/9",Munjul,Cipayung, Kota Administrasi Jakarta Timur,0,0,,
2020-06-02,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl. Remaja 2,Jatinegara Kaum,Pulogadung, Kota Administrasi Jakarta Timur,0,0,,
2020-06-02,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,"Jl. Rawakuning, Gg. Kurah No. 64",Pulo Gebang,Cakung, Kota Administrasi Jakarta Timur,0,0,,
2020-06-03,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Kebon Jeruk 7,Maphar,Tamansari, Kota Administrasi Jakarta Barat,0,0,,
2020-06-03,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Raya Tengah,Gedong,Pasar Rebo, Kota Administrasi Jakarta Timur,0,0,,
2020-06-03,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl. H. Muhi IX,Pondok Pinang,Kebayoran Lama, Kota Administrasi Jakarta Selatan,0,15000000,,
2020-06-03,Penyelamatan,Pohon Tumbang,Masyarakat Datang,Jl. Kramat Pulo Gundul Kel.Tanah Tinggi Kec.Johar Baru,Tanah Tinggi,Johar Baru, Kota Administrasi Jakarta Pusat,0,0,,
2020-06-03,Penyelamatan,Operasi Penyelamatan Lainnya,Masyarakat Datang,Asrama Mahasiswa Lampung,Pal Meriam,Matraman, Kota Administrasi Jakarta Timur,0,7000000,,
2020-06-03,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl. KH.Muh. Mansyur ,Tanah Sereal,Tambora, Kota Administrasi Jakarta Barat,0,0,,
2020-06-03,Penyelamatan,Pohon Tumbang,Masyarakat Datang, Jln raya cilangkap,Cilangkap,Cipayung, Kota Administrasi Jakarta Timur,0,0,,
2020-06-03,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl. Tolo ,Srengseng,Kembangan, Kota Administrasi Jakarta Barat,0,0,,
2020-06-03,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl.Mencos,Kalibaru,Cilincing, Kota Administrasi Jakarta Utara,2,5000000,,
2020-06-03,Penyelamatan,Operasi Penyelamatan Lainnya,Masyarakat Telepon,Jl. Mandiri,Rawa Badak Selatan,Koja, Kota Administrasi Jakarta Utara,0,0,,
2020-06-03,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl. Ikan mandarin,Pulau Panggang,Kep. Seribu Utara, Kab. Administrasi Kep. Seribu,0,0,,
2020-06-03,Penyelamatan,Pohon Tumbang,Masyarakat Telepon,Jl. Saun Tugu,Cilangkap,Cipayung, Kota Administrasi Jakarta Timur,0,0,,
2020-06-03,Penyelamatan,Operasi Penyelamatan Lainnya,Petugas Pemadam,Jl. Asem Baris,Kebon Baru,Tebet, Kota Administrasi Jakarta Selatan,0,0,,
2020-06-03,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl. Cempaka Komp. Kresk Indah,Duri kosambi,Cengkareng, Kota Administrasi Jakarta Barat,0,0,,
2020-06-03,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl. Komp. Kodam Jaya,Kalideres,Kalideres, Kota Administrasi Jakarta Barat,0,0,,
2020-06-03,Penyelamatan,Operasi Penyelamatan Lainnya,Masyarakat Telepon,Jl. Balai Rakyat,Tugu selatan,Koja, Kota Administrasi Jakarta Utara,0,0,,
2020-06-04,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl. Pola Air,tangerang,Tangerang,Kota Tangerang,0,0,,
2020-06-04,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl. Gunung Sahari Raya,Kartini,Sawah Besar, Kota Administrasi Jakarta Pusat,0,0,,
2020-06-04,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl. Brawijaya Raya No.30,Pulo,Kebayoran Baru, Kota Administrasi Jakarta Selatan,0,1000000,,
2020-06-04,Penyelamatan,Penyelamatan Transportasi,Masyarakat Telepon,Pelabuhan Dishub Dermaga Barat Pulau Lancang,Pulau Lancang,Kep. Seribu Selatan, Kab. Administrasi Kep. Seribu,0,0,,
2020-06-04,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl. Gudang Paluru Blok M No.288,Kebon Baru,Tebet, Kota Administrasi Jakarta Selatan,0,0,,
2020-06-04,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl. Karang Tengah Raya,Lebak Bulus,Cilandak, Kota Administrasi Jakarta Selatan,0,0,,
2020-06-04,Penyelamatan,Penyelamatan Transportasi,Masyarakat Telepon,Jl. M. Kahfi II,Srengseng Sawah,Jagakarsa, Kota Administrasi Jakarta Selatan,0,0,,
2020-06-04,Penyelamatan,Pertolongan Gawat Darurat (Ambulan).,Petugas Pemadam,"Puskesmas Kecamatan Cilandak, Jl. Teroyong Komp. BNI46",Cilandak Barat,Cilandak, Kota Administrasi Jakarta Selatan,0,0,,
2020-06-04,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Raya Pulogebang,Ujung Menteng,Cakung, Kota Administrasi Jakarta Timur,0,40000000,,
2020-06-04,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Raya Pemuda,Rawamangun,Pulogadung, Kota Administrasi Jakarta Timur,0,0,,
2020-06-05,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Instansi Lain,Jl. Ciledug Raya (Depan Univ. Budi Luhur),Petukangan Utara,Pesanggrahan, Kota Administrasi Jakarta Selatan,0,0,,
2020-06-05,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Instansi Lain,Jl. Lingkar Luar UI,Srengseng Sawah,Jagakarsa, Kota Administrasi Jakarta Selatan,0,0,,
2020-06-05,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Instansi Lain,Wilayah Kecamatan Mampang Prapatan,Mampang Prapatan,Mampang Prapatan, Kota Administrasi Jakarta Selatan,0,0,,
2020-06-05,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Instansi Lain,Jl. Cileduk Raya (Depan Pasar Cipulir),Cipulir,Kebayoran Lama, Kota Administrasi Jakarta Selatan,0,0,,
2020-06-05,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Instansi Lain,Jl. Ciputat Raya (Depan Sekolah Polwan),Pondok Pinang,Kebayoran Lama, Kota Administrasi Jakarta Selatan,0,0,,
2020-06-05,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Instansi Lain,"Jl. Raya Ragunan, No. 1",Jatipadang,Pasar Minggu, Kota Administrasi Jakarta Selatan,0,0,,
2020-06-05,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl. Taruna Jaya,Serdang,Kemayoran, Kota Administrasi Jakarta Pusat,0,0,,
2020-06-05,Penyelamatan,Operasi Penyelamatan Lainnya,Masyarakat Datang,Jl. Percetakan Negara No. 2,Johar Baru,Johar Baru, Kota Administrasi Jakarta Pusat,0,0,,
2020-06-05,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,"Jl. Jeruk Purut Raya, perum Lytrus Kav. A",Cilandak Timur,Pasar Minggu, Kota Administrasi Jakarta Selatan,1,4000000,,
2020-06-05,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl. H. Ambas,Cipete Selatan,Cilandak, Kota Administrasi Jakarta Selatan,0,0,,
2020-06-05,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl. Jatipadang Utara No. 1A,Jatipadang,Pasar Minggu, Kota Administrasi Jakarta Selatan,0,0,,
2020-06-05,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl. Lancang Permai,Pulau Lancang,Kep. Seribu Selatan, Kab. Administrasi Kep. Seribu,0,0,,
