tanggal,jenis_kejadian_bencana,keterangan_jkb,sumber_informasi,alamat_kejadian,kelurahan,kecamatan,wilayah,kerugian_jumlah_kk,taksiran_kerugian,,
2020-01-01,Kebakaran,Bencana Kebakaran,Jakarta Siaga 112,Jl. Pondok Ranggon No. 21,Pondok Rangon,Cipayung, Kota Administrasi Jakarta Timur,0,0,,
2020-01-01,Bantuan Operasi,Penyedotan genangan Air,Petugas Instansi Lain,Jl. Cikini Raya,Cikini,Menteng, Kota Administrasi Jakarta Pusat,0,0,,
2020-01-01,Penyelamatan,Evakuasi Banjir / Penyelamatan Air ,Masyarakat Telepon,Jl. Madrasah,Gandaria Selatan,Cilandak, Kota Administrasi Jakarta Selatan,0,0,,
2020-01-01,Penyelamatan,Evakuasi Banjir / Penyelamatan Air ,Masyarakat Telepon,Jl. H.Naim 3,Cipete Utara,Kebayoran Baru, Kota Administrasi Jakarta Selatan,0,0,,
2020-01-01,Kebakaran,Bencana Kebakaran,Jakarta Siaga 112,Jl. Gading Indah 4 Blok MF 2 ,Pegangsaan Dua,Kelapa Gading, Kota Administrasi Jakarta Utara,0,500000,,
2020-01-01,Penyelamatan,Pohon Tumbang,Petugas Instansi Lain,Terminal Tanjung Priok,Tanjung Priok,Tanjung Priok, Kota Administrasi Jakarta Utara,0,0,,
2020-01-01,Penyelamatan,Evakuasi Banjir / Penyelamatan Air ,Masyarakat Telepon,Jl. Kelapa Nias 12 No. 1C,Kelapa Gading Barat,Kelapa Gading, Kota Administrasi Jakarta Utara,0,0,,
2020-01-01,Penyelamatan,Evakuasi Banjir / Penyelamatan Air ,Petugas Pemadam,Jl. Rusun Embrio,Semper Barat,Cilincing, Kota Administrasi Jakarta Utara,0,0,,
2020-01-01,Penyelamatan,Pohon Tumbang,Petugas Pemadam,Pulau Karya,Pulau Panggang,Kep. Seribu Utara, Kab. Administrasi Kep. Seribu,0,0,,
2020-01-01,Penyelamatan,Evakuasi Banjir / Penyelamatan Air ,Masyarakat Datang,Jl. Siter Blok RE No. 4,Pegangsaan Dua,Kelapa Gading, Kota Administrasi Jakarta Utara,0,0,,
2020-01-01,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl. Kapuas 2,semper Barat,Cilincing, Kota Administrasi Jakarta Utara,0,0,,
2020-01-01,Penyelamatan,Pohon Tumbang,Masyarakat Telepon,Jl. Pantai Selatan ,Pulau tidung,Kep. Seribu Selatan, Kab. Administrasi Kep. Seribu,0,0,,
2020-01-01,Penyelamatan,Evakuasi Banjir / Penyelamatan Air ,Masyarakat Datang,Jl. Ciledug Raya ( Perum Shangrilla Indah II ),Petukangan selatan,Pesanggrahan, Kota Administrasi Jakarta Selatan,0,0,,
2020-01-01,Penyelamatan,Evakuasi Banjir / Penyelamatan Air ,Masyarakat Datang,Jl. Palem VIII,Petukangan Utara,Pesanggrahan, Kota Administrasi Jakarta Selatan,0,0,,
2020-01-01,Penyelamatan,Evakuasi Banjir / Penyelamatan Air ,Masyarakat Datang,Jl. Bendungan Hilir 17 No. 1,Bendungan Hilir,Tanah Abang, Kota Administrasi Jakarta Pusat,0,0,,
2020-01-01,Bantuan Operasi,Penyedotan genangan Air,Masyarakat Datang,Jl. Letjen Suprapto,Cempaka Putih Barat ,Cempaka Putih, Kota Administrasi Jakarta Pusat,0,0,,
2020-01-01,Bantuan Operasi,Penyedotan genangan Air,Masyarakat Telepon,Jl. Kelapa Lilin IV,Pegangsaan Dua,Kelapa Gading, Kota Administrasi Jakarta Utara,0,0,,
2020-01-01,Penyelamatan,Evakuasi Banjir / Penyelamatan Air ,Masyarakat Datang,Jl. Lingkungan ,Petukangan Utara,Pesanggrahan, Kota Administrasi Jakarta Selatan,0,0,,
2020-01-01,Penyelamatan,Evakuasi Banjir / Penyelamatan Air ,Masyarakat Datang,Komplek IKPN,Bintaro,Pesanggrahan, Kota Administrasi Jakarta Selatan,0,0,,
2020-01-01,Penyelamatan,Evakuasi Banjir / Penyelamatan Air ,Petugas Pemadam,Jl. Karet Sawah,Karet semanggi,Setiabudi, Kota Administrasi Jakarta Selatan,0,0,,
2020-01-01,Penyelamatan,Evakuasi Banjir / Penyelamatan Air ,Masyarakat Datang,Jl. Bank 1 ,Pulo,Kebayoran Baru, Kota Administrasi Jakarta Selatan,0,0,,
2020-01-01,Penyelamatan,Evakuasi Banjir / Penyelamatan Air ,Petugas Pemadam,Jl. Pondok Labu Bawah 1,Pondok Labu,Cilandak, Kota Administrasi Jakarta Selatan,0,0,,
2020-01-01,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl. Mataram I No. 3 ( Gedung Bank Mandiri ),Selong,Kebayoran Baru, Kota Administrasi Jakarta Selatan,0,0,,
2020-01-01,Penyelamatan,Evakuasi Banjir / Penyelamatan Air ,Masyarakat Telepon,Komplek Margasatwa Baru No. B 10,Pondok Labu,Cilandak, Kota Administrasi Jakarta Selatan,0,0,,
