tanggal,jenis_kejadian_bencana,keterangan_jkb,sumber_informasi,alamat_kejadian,kelurahan,kecamatan,wilayah,kerugian_jumlah_kk,taksiran_kerugian,,
2020-11-02,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Instansi Lain,Jl. MH. Thamrin,Gambir ,Gambir, Kota Administrasi Jakarta Pusat,0,0,,
2020-11-02,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Instansi Lain,Jl. Gatot Subroto No. 1,Gelora,Tanah Abang, Kota Administrasi Jakarta Pusat,0,0,,
2020-11-02,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Instansi Lain,Jl. MH. Thamrin,Gondangdia,Menteng, Kota Administrasi Jakarta Pusat,0,0,,
2020-11-02,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,"Jl. Melur Tugu Raya IV, No. 12",Tugu Utara,Koja, Kota Administrasi Jakarta Utara,0,1000000,,
2020-11-02,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,"Jl. Tebet Barat VIB, No. 19",Tebet Barat,Tebet, Kota Administrasi Jakarta Selatan,0,0,,
2020-11-02,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,"Jl. Aselih, No. 133",Cipedak,Jagakarsa, Kota Administrasi Jakarta Selatan,0,0,,
2020-11-02,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl. Daan Mogot Raya,Wijaya Kusuma,Grogol Petamburan, Kota Administrasi Jakarta Barat,0,50000000,,
2020-11-02,Penyelamatan,Evakuasi Banjir / Penyelamatan Air ,Petugas Pemadam,"Jl. Bakti (Banjir Kanal Barat, Samping Roxy Square)",Cideng,Gambir, Kota Administrasi Jakarta Pusat,0,0,,
2020-11-02,Penyelamatan,Penyelamatan Beda Ketinggian,Petugas Instansi Lain,Jl. Jend. Sudirman (Depan Stasiun MRT Dukuh Atas),Kebon Melati,Tanah Abang, Kota Administrasi Jakarta Pusat,0,0,,
2020-11-03,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,"Jl. Raya Condet, Gg. Ani, No. 8",Cililitan,Kramat Jati, Kota Administrasi Jakarta Timur,0,0,,
