tanggal,jenis_kejadian_bencana,keterangan_jkb,sumber_informasi,alamat_kejadian,kelurahan,kecamatan,wilayah,kerugian_jumlah_kk,taksiran_kerugian,,
2020-09-02,Penyelamatan,Pengendalian Hewan,Petugas Instansi Lain,Jl. Pulau Bokori Blok E13 No.13 Kodamar,Kelapa Gading barat,Kelapa Gading, Kota Administrasi Jakarta Utara,0,0,,
2020-09-02,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. M.T. Haryono Arah Pancoran,Cawang,Kramat Jati, Kota Administrasi Jakarta Timur,0,200000000,,
2020-09-03,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Radio III No.3,Kramat Pela,Kebayoran Baru, Kota Administrasi Jakarta Selatan,0,1000000,,
2020-09-03,Penyelamatan,Pengendalian Hewan,Petugas Instansi Lain,"Jl. Tamansari III, No. 14",Maphar,Tamansari, Kota Administrasi Jakarta Barat,0,0,,
2020-09-03,Bantuan Operasi,Bantuan Operasi Lainnya,Petugas Pemadam,Jl. Jend. Sudirman,Gelora,Tanah Abang, Kota Administrasi Jakarta Pusat,0,0,,
2020-09-03,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl. Ancol Barat 1,Ancol,Pademangan, Kota Administrasi Jakarta Utara,0,0,,
2020-09-03,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl. Pangandaran V,Ancol,Pademangan, Kota Administrasi Jakarta Utara,0,300000000,,
2020-09-03,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl. Tanah 80 D,Klender,Duren Sawit, Kota Administrasi Jakarta Timur,0,0,,
2020-09-03,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,"Jl. Raya Bekasi, Km. 24,5",Cakung Timur,Cakung, Kota Administrasi Jakarta Timur,0,2000000,,
2020-09-03,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl. Komp. Taman Palem Lestari No. 37F (Kantor Pemadam Kebakaran Sektor VII Cengkareng),Cengkareng Barat,Cengkareng, Kota Administrasi Jakarta Barat,0,0,,
2020-09-03,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl. Taman Surya V,Pegadungan,Kalideres, Kota Administrasi Jakarta Barat,0,0,,
2020-09-03,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl. Utama Raya (RPTRA Utama),Cengkareng Barat,Cengkareng, Kota Administrasi Jakarta Barat,0,0,,
2020-09-03,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,"Jl. Malibu, Blok J, No. 78 (Ruko Malibu)",Cengkareng Timur,Cengkareng, Kota Administrasi Jakarta Barat,0,0,,
2020-09-03,Penyelamatan,Penyelamatan Collapse Structure,Petugas Instansi Lain,Jl. Kyai Caringin,Cideng,Gambir, Kota Administrasi Jakarta Pusat,0,0,,
2020-09-03,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Pemadam,Jl. Menteng Pulo,Menteng Atas,Setiabudi, Kota Administrasi Jakarta Selatan,0,0,,
2020-09-03,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Pemadam,Jl. Karbela,Karet,Setiabudi, Kota Administrasi Jakarta Selatan,0,0,,
2020-09-03,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Pemadam,Depan pintu Utara (utama) TMR,Ragunan,Pasar Minggu, Kota Administrasi Jakarta Selatan,0,0,,
2020-09-03,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Instansi Lain,"Jl. Ampera Raya 
- Jl. TB. Simatupang
",Cilandak Timur,Pasar Minggu, Kota Administrasi Jakarta Selatan,0,0,,
2020-09-03,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Pemadam,Jln. Jagakarsa Raya,Jagakarsa,Jagakarsa, Kota Administrasi Jakarta Selatan,0,0,,
2020-09-03,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Pemadam,"Jalan Moch kahfi 1, 
Gg: Jangkrik",Ciganjur,Jagakarsa, Kota Administrasi Jakarta Selatan,0,0,,
2020-09-03,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Pemadam,Jalan Jagakarsa ( dpn Kantor Kel Jagakarsa ) ,Jagakarsa,Jagakarsa, Kota Administrasi Jakarta Selatan,0,0,,
2020-09-04,Kebakaran,Bencana Kebakaran,Petugas Instansi Lain,Jl.Jomas ,Meruya Utara,Kembangan, Kota Administrasi Jakarta Barat,0,0,,
2020-09-04,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl.Tipar Inspeksi Cakung Drain,Cakung Barat,Cakung, Kota Administrasi Jakarta Timur,0,0,,
2020-09-04,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Makasar,Makasar,Makasar, Kota Administrasi Jakarta Timur,2,0,,
2020-09-04,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl.KH.Masyur Kav.126,Karet Tengsin,Tanah Abang, Kota Administrasi Jakarta Pusat,0,0,,
2020-09-04,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Perumahan Citra Garden 5 Blok D No..27,Kamal,Kalideres, Kota Administrasi Jakarta Barat,0,0,,
2020-09-04,Kebakaran,Bencana Kebakaran,Petugas Pemadam,Jl.Komplek Graha Indah Green Ville,Duri Kepa,Kebun Jeruk, Kota Administrasi Jakarta Barat,0,0,,
2020-09-04,Penyelamatan,Operasi Penyelamatan Lainnya,Masyarakat Telepon,Jl.Tembakau Raya No..23,Pejaten Timur,Pasar Minggu, Kota Administrasi Jakarta Selatan,0,0,,
2020-09-05,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl.Klingkit 3 No..5,Rawa Buaya,Cengkareng, Kota Administrasi Jakarta Barat,1,10000000,,
2020-09-05,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl.Raya Ragunan Depan SMA 28,Jatipadang,Pasar Minggu, Kota Administrasi Jakarta Selatan,0,0,,
2020-09-05,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl.Ketapang,Jatipadang,Pasar Minggu, Kota Administrasi Jakarta Selatan,0,0,,
2020-09-05,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl.Guru Alif Duren Tiga,Duren Tiga,Pancoran, Kota Administrasi Jakarta Selatan,0,0,,
2020-09-05,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl. Empang Pulau Lancang,Pulau Pari,Kep. Seribu Selatan, Kab. Administrasi Kep. Seribu,0,0,,
2020-09-05,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Pulogebang KM.3,Pulo Gebang,Cakung, Kota Administrasi Jakarta Timur,0,0,,
2020-09-05,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl. Karet pasar Baru Timur V No.18,Karet Tengsin,Tanah Abang, Kota Administrasi Jakarta Pusat,0,0,,
2020-09-05,Penyelamatan,Penyelamatan Transportasi,Masyarakat Datang,Jl. Sagu,Jagakarsa,Jagakarsa, Kota Administrasi Jakarta Selatan,0,0,,
2020-09-05,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Kp. Ps. Minggu,Kembangan Selatan,Kembangan, Kota Administrasi Jakarta Barat,0,0,,
2020-09-05,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,"PT. Iron Bird, Jl. Cacing",Semper Timur,Cilincing, Kota Administrasi Jakarta Utara,0,0,,
2020-09-06,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Mampang Prapatan IV,Tegal Parang,Mampang Prapatan, Kota Administrasi Jakarta Selatan,3,30000000,,
2020-09-06,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl. Tipar Cakung gg. Kancil,Sukapura,Cilincing, Kota Administrasi Jakarta Utara,0,0,,
2020-09-06,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Serdang Baru XII No.. 35,Serdang,Kemayoran, Kota Administrasi Jakarta Pusat,0,30000,,
2020-09-06,Bantuan Operasi,Bantuan Operasi Lainnya,Petugas Pemadam,Jl. Jend. Sudirman,Gelora,Tanah Abang, Kota Administrasi Jakarta Pusat,0,0,,
2020-09-06,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Kesatrian 38,Kebon manggis,Matraman, Kota Administrasi Jakarta Timur,0,0,,
2020-09-06,Penyelamatan,Operasi Penyelamatan Lainnya,Masyarakat Telepon,Jl. Pondok Kelapa Raya No. 3A,Pondok Kelapa,Duren Sawit, Kota Administrasi Jakarta Timur,0,0,,
2020-09-06,Penyelamatan,Penyelamatan Transportasi,Masyarakat Datang,Jl. Dermaga Utama P. Untung Jawa,Pulau Untung Jawa,Kep. Seribu Selatan, Kab. Administrasi Kep. Seribu,0,0,,
2020-09-06,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl. Layur No. 39,Jati,Pulogadung, Kota Administrasi Jakarta Timur,0,0,,
2020-09-06,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,"Kav. Marinir Blok XB, No. 9",Pondok Kelapa,Duren Sawit, Kota Administrasi Jakarta Timur,0,0,,
2020-09-06,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Lingkungan Rt. 06,Kebon Pala,Makasar, Kota Administrasi Jakarta Timur,0,0,,
2020-09-07,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,"Jl. Panda Lestari 1, Blok B No. 36",Sukapura,Cilincing, Kota Administrasi Jakarta Utara,0,0,,
2020-09-06,Bantuan Operasi,Kesiagaan/Penjagaan,Masyarakat Datang,Jl. Waru,Kebagusan,Pasar Minggu, Kota Administrasi Jakarta Selatan,0,0,,
2020-09-06,Bantuan Operasi,Kesiagaan/Penjagaan,Masyarakat Datang,Jl. Jagakarsa Raya,Jagakarsa,Jagakarsa, Kota Administrasi Jakarta Selatan,0,0,,
2020-09-06,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,GG seratus jln Famili,Tanjung barat,Jagakarsa, Kota Administrasi Jakarta Selatan,0,0,,
2020-09-06,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl.Condet,Pejaten barat,Pasar Minggu, Kota Administrasi Jakarta Selatan,0,0,,
2020-09-06,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl. Komp Garuda duri Utara No. 41,Duri Utara,Tambora, Kota Administrasi Jakarta Barat,0,0,,
2020-09-06,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl. Komp Walikota Blok E1 No. 15A,Joglo,Kembangan, Kota Administrasi Jakarta Barat,0,0,,
2020-09-07,Penyelamatan,Operasi Penyelamatan Lainnya,Masyarakat Datang,Jl. Lap  Pors 1,Serdang,Kemayoran, Kota Administrasi Jakarta Pusat,0,0,,
2020-09-07,Penyelamatan,Operasi Penyelamatan Lainnya,Masyarakat Datang,Jl. Kelapa Sawit Raya,Pondok Kelapa,Duren Sawit, Kota Administrasi Jakarta Timur,0,0,,
2020-09-07,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl.Ketapang Gg.Jati Kuning 2,Jatipadang,Pasar Minggu, Kota Administrasi Jakarta Selatan,0,300000,,
2020-09-07,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl.Kesayangan No..10,Pegadungan,Kalideres, Kota Administrasi Jakarta Barat,1,2000000,,
2020-09-07,Penyelamatan,Operasi Penyelamatan Lainnya,Petugas Instansi Lain,Jl.Raya Kalimalang ( Pintu Air Kalimalang ),Pondok Kelapa,Duren Sawit, Kota Administrasi Jakarta Timur,0,0,,
2020-09-07,Kebakaran,Bencana Kebakaran,Petugas Pemadam,Jl.Bukit Duri,Bukit Duri,Tebet, Kota Administrasi Jakarta Selatan,0,0,,
