tanggal,jenis_kejadian_bencana,keterangan_jkb,sumber_informasi,alamat_kejadian,kelurahan,kecamatan,wilayah,kerugian_jumlah_kk,taksiran_kerugian,,
2020-07-02,Bantuan Operasi,Kerja Bakti,Masyarakat Datang,"Jl. Diponegoro, No. 10",Menteng,Menteng, Kota Administrasi Jakarta Pusat,0,0,,
2020-07-02,Bantuan Operasi,Kerja Bakti,Petugas Instansi Lain,Jl. Pasar Baru,Pasar Baru ,Sawah Besar, Kota Administrasi Jakarta Pusat,0,0,,
2020-07-03,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl.Batu Ampar 1,Batu Ampar,Kramat Jati, Kota Administrasi Jakarta Timur,0,0,,
2020-07-03,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Raya Joglo ( titik kenal perempatan joglo ),Joglo,Kembangan, Kota Administrasi Jakarta Barat,0,2000000,,
2020-07-03,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl. Lapangan tembak,Cilandak Timur,Pasar Minggu, Kota Administrasi Jakarta Selatan,6,350000000,,
2020-07-03,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Lapangan ,Batu Ampar,Kramat Jati, Kota Administrasi Jakarta Timur,6,450000000,,
2020-07-03,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jln Rawamangun Muka Flat UI No 7,Rawamangun,Pulogadung, Kota Administrasi Jakarta Timur,0,0,,
2020-07-03,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,RS Duren Sawit ,Duren sawit,Duren Sawit, Kota Administrasi Jakarta Timur,0,0,,
2020-07-03,Kebakaran,Bencana Kebakaran,Jakarta Siaga 112, Jl.Taman kebun Jeruk 2 Block U No.20 ,Joglo,Kembangan, Kota Administrasi Jakarta Barat,1,1000000000,,
2020-07-03,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,"Komplek Cempaka Lestari, No. G. 9",Lebak Bulus,Cilandak, Kota Administrasi Jakarta Selatan,1,7000000,,
2020-07-03,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl. Masjid 1 ,Kebon Baru,Tebet, Kota Administrasi Jakarta Selatan,0,0,,
2020-07-03,Penyelamatan,Penyelamatan Collapse Structure,Masyarakat Telepon,"Jln.H.Gari, No.45",Pesanggrahan,Pesanggrahan, Kota Administrasi Jakarta Selatan,0,265000000,,
2020-07-03,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,"Komp Subur 6 depan Tamarine Line, Jln. Lebak Bulus ",Lebak Bulus,Cilandak, Kota Administrasi Jakarta Selatan,0,0,,
2020-07-03,Bantuan Operasi,Kerja Bakti,Masyarakat Datang,Jl. Prof. Dr. Latumenten No. 50 ,Grogol,Grogol Petamburan, Kota Administrasi Jakarta Barat,0,0,,
2020-07-04,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl. H. Ung,Utan Panjang,Kemayoran, Kota Administrasi Jakarta Pusat,1,60000000,,
2020-07-04,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Mangga Besar VII No.6,Tangki,Tamansari, Kota Administrasi Jakarta Barat,1,30000000,,
2020-07-04,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Kapuk Kamal Raya,Kamal Muara,Penjaringan, Kota Administrasi Jakarta Utara,0,0,,
