tanggal,jenis_kejadian_bencana,keterangan_jkb,sumber_informasi,alamat_kejadian,kelurahan,kecamatan,wilayah,kerugian_jumlah_kk,taksiran_kerugian,,
2020-08-02,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl.Camat Gabun,Lenteng Agung,Jagakarsa, Kota Administrasi Jakarta Selatan,0,0,,
2020-08-02,Penyelamatan,Operasi Penyelamatan Lainnya,Masyarakat Telepon,Dr.Soepomo No..47,Tebet barat,Tebet, Kota Administrasi Jakarta Selatan,0,0,,
2020-08-02,Penyelamatan,Operasi Penyelamatan Lainnya,Masyarakat Datang,Jl.Moch Kahfi 1 Blok A23,Jagakarsa,Jagakarsa, Kota Administrasi Jakarta Selatan,0,0,,
2020-08-03,Kebakaran,Bencana Kebakaran,Petugas Instansi Lain,Jalan Raden Inten,Duren sawit,Duren Sawit, Kota Administrasi Jakarta Timur,0,0,,
2020-08-03,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Perum Kampung Ubu,Ciputat,Ciputat,Kota Tangerang Selatan,0,0,,
2020-08-03,Bantuan Operasi,Kerja Bakti,Petugas Instansi Lain,Jl. Cilincing Raya No.40,Lagoa,Koja, Kota Administrasi Jakarta Utara,0,0,,
2020-08-03,Penyelamatan,Penyelamatan Transportasi,Masyarakat Telepon,Dermaga Pulau Panggang,Pulau Panggang,Kep. Seribu Utara, Kab. Administrasi Kep. Seribu,0,0,,
2020-08-03,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl. Abdul Hamid Pulau Pari,Pulau Pari,Kep. Seribu Selatan, Kab. Administrasi Kep. Seribu,0,0,,
2020-08-03,Penyelamatan,Penyelamatan Transportasi,Petugas Instansi Lain,Jl. Sagu,Jagakarsa,Jagakarsa, Kota Administrasi Jakarta Selatan,0,0,,
2020-08-03,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl. Matraman Dalam II No.4,Pegangsaan ,Menteng, Kota Administrasi Jakarta Pusat,0,0,,
2020-08-03,Bantuan Operasi,Kerja Bakti,Petugas Pemadam,Jl. Jendral Sudirman,Kebon Kacang,Tanah Abang, Kota Administrasi Jakarta Pusat,0,0,,
2020-08-03,Penyelamatan,Pohon Tumbang,Masyarakat Datang,Jl. Cempaka Putih Raya,Cempaka Putih Barat ,Cempaka Putih, Kota Administrasi Jakarta Pusat,0,0,,
2020-08-03,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Raya Cakung Barat,Cakung Barat,Cakung, Kota Administrasi Jakarta Timur,3,50000000,,
2020-08-03,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Sektor VII,Tangerang,Tangerang,Kota Tangerang,2,0,,
2020-08-04,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Instansi Lain,PD. Pasar Jaya Tebet Barat,Tebet Barat,Tebet, Kota Administrasi Jakarta Selatan,0,0,,
2020-08-04,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Instansi Lain,PD. Pasar Jaya Tebet Timur,Tebet Timur,Tebet, Kota Administrasi Jakarta Selatan,0,0,,
2020-08-04,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Instansi Lain,Jl. Jagakarsa Raya,Jagakarsa,Jagakarsa, Kota Administrasi Jakarta Selatan,0,0,,
2020-08-04,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Instansi Lain,JL. Ciledug Raya,Petukangan Utara,Pesanggrahan, Kota Administrasi Jakarta Selatan,0,0,,
2020-08-04,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Instansi Lain,"Jl. Garuda, No. 7",Pesanggrahan,Pesanggrahan, Kota Administrasi Jakarta Selatan,0,0,,
2020-08-04,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Instansi Lain,Jl. M. Kahfi 1,Jagakarsa,Jagakarsa, Kota Administrasi Jakarta Selatan,0,0,,
2020-08-04,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Instansi Lain,J. Kebagusan IV,Kebagusan,Pasar Minggu, Kota Administrasi Jakarta Selatan,0,0,,
2020-08-04,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl. Padang Panjang,Pasar Manggis,Setiabudi, Kota Administrasi Jakarta Selatan,0,0,,
2020-08-04,Penyelamatan,Evakuasi Banjir / Penyelamatan Air ,Masyarakat Telepon,Dermaga Barat Pulau Panggang,Pulau Panggang,Kep. Seribu Utara, Kab. Administrasi Kep. Seribu,0,0,,
2020-08-04,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl. Plumpang Raya,Rawa Badak Selatan,Koja, Kota Administrasi Jakarta Utara,0,0,,
2020-08-04,Penyelamatan,Operasi Penyelamatan Lainnya,Masyarakat Datang,Jl. Ciputata Raya,Pondok Pinang,Kebayoran Lama, Kota Administrasi Jakarta Selatan,0,0,,
2020-08-04,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl. Epicentrum Boulevard Barat,Menteng Atas,Setiabudi, Kota Administrasi Jakarta Selatan,0,0,,
2020-08-04,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Kamboja,Kebon Pala,Makasar, Kota Administrasi Jakarta Timur,0,0,,
2020-08-04,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,"Jl. Kecapi raya, No. 74A",Jagakarsa,Jagakarsa, Kota Administrasi Jakarta Selatan,0,0,,
2020-08-04,Kebakaran,Bencana Kebakaran,Masyarakat Datang,"Jl. Rasamala VII, No. 51A",Menteng Dalam,Tebet, Kota Administrasi Jakarta Selatan,1,0,,
2020-08-04,Kebakaran,Bencana Kebakaran,Petugas Instansi Lain,Jl. Kp. Salo,Kembangan Utara,Kembangan, Kota Administrasi Jakarta Barat,0,0,,
2020-08-04,Penyelamatan,Penyelamatan Transportasi,Masyarakat Telepon,Jl. Keadilan II No. 81,Glodok,Tamansari, Kota Administrasi Jakarta Barat,0,0,,
2020-08-05,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl.Swasembada Barat XXXVI No..23,Kebon Bawang,Tanjung Priok, Kota Administrasi Jakarta Utara,0,0,,
2020-08-05,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl.Majalah ( Komplek PWI ),Cipinang Besar Selatan,Jatinegara, Kota Administrasi Jakarta Timur,0,7000000,,
2020-08-05,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl.Kayu Tinggi,Cakung Timur,Cakung, Kota Administrasi Jakarta Timur,5,0,,
2020-08-05,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl.Baret Biru 3 No..16B,Kalisari,Pasar Rebo, Kota Administrasi Jakarta Timur,0,0,,
2020-08-05,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl.Tirta 3A No..43,Duren sawit,Duren Sawit, Kota Administrasi Jakarta Timur,0,0,,
2020-08-05,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl.Taman Daan Mogot 3 No..4,Tanjung Duren Utara,Grogol Petamburan, Kota Administrasi Jakarta Barat,0,0,,
2020-08-05,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl.Kamal Raya,Kamal,Kalideres, Kota Administrasi Jakarta Barat,0,0,,
2020-08-05,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl.Karya Bakti 4 No..2C,Pondok Kopi,Duren Sawit, Kota Administrasi Jakarta Timur,3,0,,
2020-08-05,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl.Cilincing Kali Baru No..10,Kalibaru,Cilincing, Kota Administrasi Jakarta Utara,0,0,,
2020-08-05,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl.Mampang Prapatan VII,Tegal Parang,Mampang Prapatan, Kota Administrasi Jakarta Selatan,0,300000,,
2020-08-05,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl.Kramat Jaya Gg.5 Blok F No..9,Semper Barat,Cilincing, Kota Administrasi Jakarta Utara,0,0,,
2020-08-05,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Komplek Kodam Jaya,Kalideres,Kalideres, Kota Administrasi Jakarta Barat,0,0,,
2020-08-05,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl.Pekojan 1,Pekojan,Tambora, Kota Administrasi Jakarta Barat,0,0,,
2020-08-05,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl.Raya Pasar Minggu Gg.Buntu,Pasar Minggu,Pasar Minggu, Kota Administrasi Jakarta Selatan,0,5000000,,
2020-08-06,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl.Kyai Haji Syahdan Gg.Keluarga No..39,Palmerah,Palmerah, Kota Administrasi Jakarta Barat,0,0,,
2020-08-06,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl.Suralaya,Cipayung,Cipayung, Kota Administrasi Jakarta Timur,0,0,,
2020-08-06,Kebakaran,Bencana Kebakaran,Petugas Instansi Lain,Jl. Suryo No.31,Rawa Barat,Kebayoran Baru, Kota Administrasi Jakarta Selatan,0,150000000,,
2020-08-06,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl. kampung Melayu Kecil No.20,Bukit Duri,Tebet, Kota Administrasi Jakarta Selatan,0,2000000,,
2020-08-06,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,"PT. Integrity Indonesia, Jl. R.S. Fatmawati No.57B",Cilandak barat,Cilandak, Kota Administrasi Jakarta Selatan,0,500000,,
2020-08-06,Penyelamatan,Penyelamatan Transportasi,Masyarakat Datang,Jl. Raya Brigif,Cipedak,Jagakarsa, Kota Administrasi Jakarta Selatan,0,0,,
2020-08-06,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,"PT. ISTW, Jl. Pulo Sidik",rawa terate,Cakung, Kota Administrasi Jakarta Timur,0,0,,
2020-08-06,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl. Cikini Raya No.73,Cikini,Menteng, Kota Administrasi Jakarta Pusat,0,0,,
2020-08-06,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Kakap V,Penjaringan,Penjaringan, Kota Administrasi Jakarta Utara,0,5000000,,
2020-08-06,Kebakaran,Bencana Kebakaran,Petugas Pemadam,Jl. H. Naba II No.29,Tangerang,Tangerang,Kota Tangerang,1,2000000000,,
2020-08-06,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl. Kampung Baru V No. 5,Ulujami,Pesanggrahan, Kota Administrasi Jakarta Selatan,0,0,,
2020-08-07,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl. Surabaya No. 26,Menteng,Menteng, Kota Administrasi Jakarta Pusat,0,3500000,,
2020-08-06,Bantuan Operasi,Kerja Bakti,Petugas Pemadam,Jl. Jendral Sudirman,Kebon Sirih,Menteng, Kota Administrasi Jakarta Pusat,0,0,,
2020-08-06,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,"PT. Trimitra battre Prakasa, Jl. Akses Marunda No.3",Semper Timur,Cilincing, Kota Administrasi Jakarta Utara,0,0,,
2020-08-06,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Jelambar Barat II No.2,Jelambar,Grogol Petamburan, Kota Administrasi Jakarta Barat,0,0,,
2020-08-07,Kebakaran,Bencana Kebakaran,Jakarta Siaga 112,Jl. Tomang Tinggi No.22,Tomang,Grogol Petamburan, Kota Administrasi Jakarta Barat,0,450000000,,
2020-08-07,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Pemadam,Jl. Garuda No. 7,Pesanggrahan,Pesanggrahan, Kota Administrasi Jakarta Selatan,0,0,,
2020-08-07,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Pemadam,Jl. Pendawa,Menteng Atas,Setiabudi, Kota Administrasi Jakarta Selatan,0,0,,
