tanggal,jenis_kejadian_bencana,keterangan_jkb,sumber_informasi,alamat_kejadian,kelurahan,kecamatan,wilayah,kerugian_jumlah_kk,taksiran_kerugian,,
2020-02-02,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl. Pertengahan Gg. Niman No.92,Cijantung,Pasar Rebo, Kota Administrasi Jakarta Timur,0,0,,
2020-02-02,Penyelamatan,Pengendalian Hewan,Jakarta Siaga 112,Jl. Tomang Banjir Kanal No.05,Tomang,Grogol Petamburan, Kota Administrasi Jakarta Barat,0,0,,
2020-02-02,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl. Krmat Asem No.6,Utan Kayu Selatan,Matraman, Kota Administrasi Jakarta Timur,0,0,,
2020-02-02,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jak Grosir Pulau Tidung Kecil,Pulau Tidung,Kep. Seribu Selatan, Kab. Administrasi Kep. Seribu,0,0,,
2020-02-02,Penyelamatan,Evakuasi Banjir / Penyelamatan Air ,Masyarakat Datang,Jl. Kali Pesanggrahan,Ulujami,Pesanggrahan, Kota Administrasi Jakarta Selatan,0,0,,
2020-02-02,Penyelamatan,Operasi Penyelamatan Lainnya,Masyarakat Datang,Kantor Sudin Penanggulangan Kebakaran Dan Penyelamatan Jakarta Pusat,Duri Pulo,Gambir, Kota Administrasi Jakarta Pusat,0,0,,
2020-02-02,Penyelamatan,Operasi Penyelamatan Lainnya,Masyarakat Datang,Kantor Sudin Penanggulangan Kebakaran Dan Penyelamatan Jakarta Barat,Tanjung Duren Utara,Grogol Petamburan, Kota Administrasi Jakarta Barat,0,0,,
2020-02-02,Bantuan Operasi,Penyedotan genangan Air,Petugas Pemadam,Jl. Kota Baru Bandar Kemayoran,Kebon Kosong,Kemayoran, Kota Administrasi Jakarta Pusat,0,0,,
2020-02-02,Bantuan Operasi,Penyedotan genangan Air,Masyarakat Telepon,Jl. Muara Karang Raya,Pluit,Penjaringan, Kota Administrasi Jakarta Utara,0,0,,
2020-02-02,Bantuan Operasi,Kerja Bakti,Masyarakat Datang,Jl. Satria Pol 30,Ujung Menteng,Cakung, Kota Administrasi Jakarta Timur,0,0,,
2020-02-03,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl. Kali Buaran,Penggilingan,Cakung, Kota Administrasi Jakarta Timur,0,0,,
2020-02-03,Penyelamatan,Pengendalian Hewan,Petugas Pemadam,"Jl. Pertengahan, Gg. Niman, No. 92",Cipinang,Pulogadung, Kota Administrasi Jakarta Timur,0,0,,
2020-02-03,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,"Jl. Pinang Ranti, No. 50",Pinang Ranti,Makasar, Kota Administrasi Jakarta Timur,0,0,,
2020-02-03,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon," Jl. Karang Tengah Raya, No. 08",Lebak Bulus,Cilandak, Kota Administrasi Jakarta Selatan,0,0,,
2020-02-03,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,"Jl. Kelapa Hijau, No. 59",Jagakarsa,Jagakarsa, Kota Administrasi Jakarta Selatan,0,0,,
2020-02-03,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl. kampung Bandan,Ancol,Pademangan, Kota Administrasi Jakarta Utara,0,0,,
2020-02-03,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl. Aselih No. 63,cipedak,Jagakarsa, Kota Administrasi Jakarta Selatan,0,0,,
2020-02-03,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl. Lenteng Agung No. 37,Lenteng agung,Jagakarsa, Kota Administrasi Jakarta Selatan,0,0,,
2020-02-03,Penyelamatan,Pengendalian Hewan,Jakarta Siaga 112,Jl. Penerangan VI,Pesanggrahan,Pesanggrahan, Kota Administrasi Jakarta Selatan,0,0,,
2020-02-03,Penyelamatan,Pengendalian Hewan,Petugas Pemadam,Jl. Komp Asrama Joglo No. 9,Joglo,Kembangan, Kota Administrasi Jakarta Barat,0,0,,
2020-02-03,Penyelamatan,Pengendalian Hewan,Petugas Instansi Lain,Jl. Taman Surya,Pegadungan,Kalideres, Kota Administrasi Jakarta Barat,0,0,,
2020-02-03,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl. Budi Mulya No. 1A,Pademangan Barat,Pademangan, Kota Administrasi Jakarta Utara,0,0,,
2020-02-03,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Barito ,Semper Barat,Cilincing, Kota Administrasi Jakarta Utara,0,0,,
2020-02-03,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,"Jln.Fahrudin Kapling 36, Ruko AURI Blok D 12 A , Tanah Abang Bukit",Kampung Bali,Tanah Abang, Kota Administrasi Jakarta Pusat,0,900000000,,
2020-02-04,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Tongkol Raya No. 6,Ancol,Pademangan, Kota Administrasi Jakarta Utara,0,300000000,,
2020-02-04,Bantuan Operasi,Penyedotan genangan Air,Masyarakat Telepon,Jl.Muara Angke Gg.Kerapu,Pluit,Penjaringan, Kota Administrasi Jakarta Utara,0,0,,
2020-02-04,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Gunung sahari VII  Blok 7B No. 26 A  (belakang Hotel Golden),Gunung Sahari Utara,Sawah Besar, Kota Administrasi Jakarta Pusat,1,300000000,,
2020-02-04,Penyelamatan,Operasi Penyelamatan Lainnya,Masyarakat Datang,Jl.Matraman Raya No..132,Kebon Manggis,Matraman, Kota Administrasi Jakarta Timur,0,0,,
2020-02-04,Penyelamatan,Penyelamatan Transportasi,Masyarakat Telepon,Jl.I Gusti Ngurah Rai 45 PMI,Klender,Duren Sawit, Kota Administrasi Jakarta Timur,0,0,,
2020-02-04,Penyelamatan,Pengendalian Hewan,Petugas Instansi Lain,Perumahan Tanjung Mas Raya Blok B3/jl.Garuda Mas No..16-17,Tanjung Barat,Jagakarsa, Kota Administrasi Jakarta Selatan,0,0,,
2020-02-04,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl.Murai 2,Pasar Minggu,Pasar Minggu, Kota Administrasi Jakarta Selatan,0,0,,
2020-02-04,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl.Rawa Kuning Gg.Hj.Naleh No..49,Pulo Gebang,Cakung, Kota Administrasi Jakarta Timur,0,0,,
2020-02-04,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl. Raya Halim Perdana Kusuma No..5,Halim Perdana Kusuma,Makasar, Kota Administrasi Jakarta Timur,0,0,,
2020-02-04,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl. Pondok Labu 1 D No..01,Pondok Labu,Cilandak, Kota Administrasi Jakarta Selatan,0,0,,
2020-02-04,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Perumahan Arcadia Blok D No..1,Pegangsaan Dua,Kelapa Gading, Kota Administrasi Jakarta Utara,0,0,,
2020-02-04,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl. Rambai 3 No..9,Kramat Pela,Kebayoran Baru, Kota Administrasi Jakarta Selatan,0,0,,
2020-02-04,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl. Seno 1 ( Kantor BIN Pasar Minggu ),Pejaten Timur,Pasar Minggu, Kota Administrasi Jakarta Selatan,0,0,,
2020-02-04,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl. Kemuning Dalam 4 No..2 A,Pejaten Timur,Pasar Minggu, Kota Administrasi Jakarta Selatan,0,0,,
2020-02-05,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl.Masdjid Nurul Iman,Kalideres,Kalideres, Kota Administrasi Jakarta Barat,1,50000000,,
2020-02-04,Penyelamatan,Evakuasi Banjir / Penyelamatan Air ,Petugas Instansi Lain,Tanggul Air,Ulujami,Pesanggrahan, Kota Administrasi Jakarta Selatan,0,0,,
2020-02-04,Bantuan Operasi,Bantuan Operasi Lainnya,Petugas Instansi Lain,Jl.Daan Mogot KM.13,Cengkareng Barat,Cengkareng, Kota Administrasi Jakarta Barat,0,0,,
2020-02-04,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl.Facrudin Kav 36 Blok D 12A,Kampung Bali,Tanah Abang, Kota Administrasi Jakarta Pusat,0,0,,
2020-02-05,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Komplek Perdagangan No..6A,Kelapa Gading Timur,Kelapa Gading, Kota Administrasi Jakarta Utara,0,0,,
2020-02-05,Bantuan Operasi,Kerja Bakti,Petugas Pemadam,Jl. Pangeran Jayakarta,Mangga Dua Selatan ,Sawah Besar, Kota Administrasi Jakarta Pusat,0,0,,
2020-02-05,Bantuan Operasi,Kerja Bakti,Petugas Pemadam,Jl. K.H. Wahid Hasyim,Kebon Sirih,Menteng, Kota Administrasi Jakarta Pusat,0,0,,
2020-02-05,Bantuan Operasi,Kerja Bakti,Petugas Pemadam,Jl. Letjend. Soeprapto,Cempaka Putih Timur,Cempaka Putih, Kota Administrasi Jakarta Pusat,0,0,,
2020-02-05,Bantuan Operasi,Kerja Bakti,Petugas Pemadam,Jl. Pulo Gundul ,Tanah Tinggi,Johar Baru, Kota Administrasi Jakarta Pusat,0,0,,
2020-02-05,Bantuan Operasi,Kerja Bakti,Petugas Pemadam,Jl. Paseban Raya,Paseban,Senen, Kota Administrasi Jakarta Pusat,0,0,,
2020-02-05,Bantuan Operasi,Penyedotan genangan Air,Masyarakat Telepon,Pulau Untung Jawa,Pulau Untung Jawa,Kep. Seribu Selatan, Kab. Administrasi Kep. Seribu,0,0,,
2020-02-05,Penyelamatan,Penyelamatan Transportasi,Masyarakat Datang,Jl. Raya Poncol,Ciracas,Ciracas, Kota Administrasi Jakarta Timur,0,0,,
2020-02-05,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,"Hotel Golden Sky, Jl. Pluit Kencana No.48",Pluit,Penjaringan, Kota Administrasi Jakarta Utara,0,0,,
2020-02-05,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl. Kelapa Hijau I Blok D3 No.1,Kelapa Gading Timur,Kelapa Gading, Kota Administrasi Jakarta Utara,0,0,,
2020-02-05,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,"Ruko Bora Indah Blok A2, Jl. Karang Tengah Raya",Lebak Bulus,Cilandak, Kota Administrasi Jakarta Selatan,0,0,,
2020-02-05,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl. Abuserin I No.17,Gandaria Selatan,Cilandak, Kota Administrasi Jakarta Selatan,0,0,,
2020-02-05,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,"Perum. Bukit Cireundeu, Jl. Mawar Blok D4 No.11",Ciputat,Ciputat,Kota Tangerang Selatan,1,100000000,,
2020-02-05,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Mahakam I,Kramat Pela,Kebayoran Baru, Kota Administrasi Jakarta Selatan,0,0,,
2020-02-05,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl. Pesanggrahan,Kembangan Selatan,Kembangan, Kota Administrasi Jakarta Barat,0,500000000,,
2020-02-05,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl. Cipinang Baru Bunder No.10,Cipinang,Pulogadung, Kota Administrasi Jakarta Timur,0,0,,
2020-02-05,Penyelamatan,Evakuasi Banjir / Penyelamatan Air ,Petugas Pemadam,Jl. Kali Pesanggrahan,Ulujami,Pesanggrahan, Kota Administrasi Jakarta Selatan,0,0,,
2020-02-06,Bantuan Operasi,Kerja Bakti,Masyarakat Datang,Jl. Ulujami Raya,Pesanggrahan,Pesanggrahan, Kota Administrasi Jakarta Selatan,0,0,,
2020-02-06,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl. Mustika Ratu,Ciracas,Ciracas, Kota Administrasi Jakarta Timur,0,0,,
2020-02-06,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,"Jl. Menteng Jaya, No. 18 B",Menteng,Menteng, Kota Administrasi Jakarta Pusat,0,0,,
2020-02-06,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Raya Poncol,Ciracas,Ciracas, Kota Administrasi Jakarta Timur,0,100000000,,
2020-02-06,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl. Kamboja VII,Kebon Pala,Makasar, Kota Administrasi Jakarta Timur,0,0,,
